и, and
унитарный, unitary
утес, cliff
уха, ear
фи́лин, owl
фрак, coat
харьковский, Kharkiv
хирургия, surgery
хихи́кать, giggle
хра́брость, courage
черепа́ха, turtle
чета́, couple
щелчо́к, click
экстренный, emergency
эмигри́ровать, to emigrate
артель, artel
архи́вный, archive
астроном, astronomer
атмосферный, naturally
баллон, balloon
беспреры́вно, continuously
благоустройство, landscaping
..лядь, ..lady
внешнеэкономи́ческий, foreign trade
внима́ть, to listen
внутренность, inside
водопровод, plumbing
восход, sunrise
врезать, embed
всхли́пывать, sob
выдвижение, nomination
вылить, pour
гаи́шник, policeman
ге́тто, ghetto
годный, fit
гоня́ться, chase
гравюра, engraving
да́тский, Danish
десятиле́тний, ten years
директива, Directive
докладчик, reporter
древостой, stand
духовка, oven
жеребе́ц, stallion
заба́вно, funny
завали́ться, mislaid
загуде́ть, to segudet
запра́вить, tuck
зашевели́ться, to zashevelyatsya
знакомить, to acquaint
изуродовать, ugly
инвестировать, to invest
испи́сывать, to ispirati
ка́нцлер, Chancellor
карава́н, caravan
кардинальный, cardinal
клен, maple
княжна́, Princess
коми́ческий, comic
ко́нский, horse
конструирование, design
концентрат, concentrate
координацио́нный, coordination
кормление, feeding
кра́шеный, painted
лицевой, facial
львиный, lion
метрополитен, Metropolitan
минуть, a little
молот, hammer
немину́емо, inevitably
неравенство, inequality
неслы́шный, silently
новшество, innovation
номинальный, rated
обжа́ловать, to appeal
обогатить, to enrich
общечелове́ческий, universal
объединяться, to unite
оживля́ться, to revive
озноб, chills
оруже́йный, Armory
отбыва́ть, to serve
отталкивать, to push
перекре́щиваться, to cross
переска́зывать, retell
пиковый, peak
плотина, dam
пля́ска, dance
поба́иваться, be afraid of
пожа́рный, fire
покрыва́ться, covered
получатель, the recipient
понижение, lowering
поощрение, promotion
порадоваться, enjoy
почудиться, to seem
пра́здный, idle
приглядеться, you look
пригрози́ть, to threaten
прижива́ться, to settle down
припа́док, fit
пробный, trial
прогуля́ться, take a stroll
производный, derived
промокнуть, wet
пропаганди́стский, propaganda
протез, prosthesis
процессор, processor
работя́га, hard worker
разлом, fault
распространи́ться, spread
распина́ть, crucify
расторже́ние, termination
реклами́ровать, advertising
свы́ше, over
серб, Serb
сино́д, the Synod
смягчить, to mitigate
снова́ть, warping
созна́ться, to confess
сплюнуть, spit
спу́тница, companion
сценари́ст, screenwriter
теснота, the narrowness
топик, topic
то́пот, the sound
тошни́ть, vomiting
тошнота́, nausea
тренировочный, training
трехлетний, three-year
углерод, carbon
уде́л, destiny
уклониться, to avoid
укра́дкой, sneak
пакова́ть, packaging
усиленный, reinforced
услы́шать, to speak with a
устремление, aspiration
фронтови́к, soldier
фургон, van
ху́до, bad
штабно́й, staff
а, and
антитеррористический, anti-terrorist
беленький, white
беспло́дный, barren
бесспо́рно, undoubtedly
бренд, brand
взрываться, explode
вибрация, vibration
вологодский, Vologda
восемна́дцатый, eighteenth
въезжа́ть, to enter
вы́борный, elective
выдвига́ться, be nominated
высунуть, stick
геноти́п, genotype
гладь, surface
го́рничная, maid
графа, count
греза, dream
греши́ть, sin
гроссме́йстер, grandmaster
девяно́стый, the nineties
дивиде́нд, dividend
доноси́ть, to convey
достопримечательность, landmark
дотра́гиваться, touch
ду́рочка, fool
ежеме́сячный, monthly
железнодорожник, railwayman
загар, tan
заи́мствовать, to borrow
засыха́ть, wither
заткну́ться, shut up
затруднять, to complicate
захло́пнуться, slamming
зола, ash
извещение, notice
издева́тельство, bullying
изря́дный, fair
изыскание, finding
иллюминатор, porthole
иллюстрировать, to illustrate
интегральный, integral
исправлять, fix
каба́к, Kabak
кедр, cedar
кировский, Kirov
колыха́ться, sway
крапи́ва, nettle
кро́ткий, meek
крупно, coarsely
лада, Lada
льди́на, the ice
машиностроительный, engineering
мече́ть, mosque
микрорайон, district
многонациональный, multinational
мобилизова́ть, to mobilize
мона́рхия, monarchy
наводне́ние, flood
нала́диться, to improve
нарочи́то, deliberately
натиск, onslaught
небоскреб, skyscraper
невозмути́мый, calmly
незнание, ignorance
непроницаемый, impervious
обязываться, commit
одобри́тельно, approvingly
осадить, besiege
осадок, sediment
отбива́ться, to fight back
отодви́нуться, move
охладить, cool
пересекаться, cross
пови́нный, guilty
подвози́ть, ride
подверну́ться, to turn up
по-де́тски, childish
подложить, to enclose
подте́кст, the implication
пока́чивать, to shake
полномо́чный, Plenipotentiary
полома́ть, to break
пома́лкивать, to keep quiet
попутный, associated
поразительно, amazing
пораста́ть, parasti
поро́чный, vicious
почем, how much
правопоря́док, law and order
предопределя́ть, be predestinate
прися́жный, juror
причиня́ть, cause
проника́ться, feel
противовозду́шный, air
радиатор, radiator
распоря́док, schedule
распределять, distribute
расстава́ние, parting
румя́нец, blush
сельсове́т, the village Council
си́литься, try
скати́ться, slipping
соревнова́ться, to compete
сползать, sliding
сюже́тный, plot
термина́л, terminal
толстя́к, the fat man
транзит, transit
увози́ть, to take
угнета́ть, to oppress
уско́ренный, accelerated
фартук, apron
физиоло́гия, physiology
фо́тка, photo
фриц, Fritz
хищение, theft
хру́ст, crunch
цветни́к, flower garden
цини́чный, cynical
ча́до, child
черномо́рский, black
чехол, case
щас, right now
эволюционный, evolutionary
эфирный, essential
азербайджа́нский, Azerbaijan
алиме́нты, alimony
аре́ндный, rental
ас, AC
ба́йка, bike
безлюдный, deserted
беспомощность, helplessness
брезе́нтовый, canvas
валун, boulder
вдохновля́ть, inspire
верхо́м, top
веща́ть, broadcast
взмах, swing
взобраться, climb
вня́тно, clearly
внятный, clear
води́тельский, driving
возведение, construction
воня́ть, stink
всесторонний, comprehensive
встроить, embed
вулка́н, volcano
выпад, attack
гармошка, accordion
генера́л-полковник, Colonel-General
гра́фика, graphics
журналистка, journalist
завора́живать, charm
задави́ть, crushing
зазвене́ть, to ring
заулыбаться, avoid smiling
знамена́тельный, significant
зы́бкий, shaky
изнаси́ловать, rape
изучаться, be studied
истека́ть, to expire
иуде́й, Jew
ка́нуть, sink
карто́фельный, potato
кварти́рный, apartment
кинематографи́ст, filmmaker
ко́зырь, trump
копить, save
коротенький, short
крот, mole
крылышко, wing
лепешка, cake
ле́ший, Goblin
линза, lens
лупи́ть, beating
магни́т, magnet
матовый, Matt
маэ́стро, Maestro
ме́рзость, the abomination
микроскоп, the microscope
миллио́нный, million
мимолетный, fleeting
миротво́рческий, peace
моторный, motor
наду́мать, to decide
нажим, pressure
наполнение, filling
наращивать, to increase
насто́йчивость, persistence
насыпь, barrow
натыкаться, stumble
неизвестность, the unknown
неле́пость, the absurdity
неуда́чник, loser
неукло́нно, steadily
неэффективный, inefficient
ничья, draw
нотариа́льный, notary
нуклеотидный, nucleotide
обива́ть, upholster
обложи́ть, to impose
одноко́мнатный, one
одолева́ть, to overcome
округленный, rounded
орнамент, ornament
ослабеть, to weaken
отображение, display
отси́живать, to serve
о́ттепель, thaw
паровой, steam
па́стор, pastor
перерезать, cut
пересадка, transplantation
планировка, layout
погрузка, loading
подуматься, to think
поню́хать, smell
поочередно, alternately
поря́дочность, decency
постано́вщик, Director
потенциально, potentially
поучи́тельный, instructive
прили́чие, decency
продви́нуться, to move
продуктивность, productivity
проклясть, curse
пуд, pood
пылесос, vacuum cleaner
развлека́ться, have fun
разговори́ться, talk
разоблачить, to expose
расте́рянный, confused
ревизо́р, auditor
регистрационный, registration
резиде́нт, resident
Ренесса́нс, Renaissance
россыпь, placer
ручеек, brook
рябой, speckled
самого́н, moonshine
сбива́ться, to lose
сводный, summary
сде́рживаться, to hold back
сновиде́ние, dream
срез, slice
стерва, bitch
стимулирование, stimulation
стра́нник, wanderer
су́мрачный, gloomy
техногенный, man-made
тройной, triple
тру́сость, cowardice
туннель, the tunnel
тюменский, Tyumen
тяжелейший, the hardest
увяза́ть, link
уксус, vinegar
урожа́йность, yield
утеря́ть, to lose
фарш, minced
фило́лог, philologist
флажок, the box
фруктовый, fruit
ха́мство, rudeness
челябинский, Chelyabinsk
шампу́нь, shampoo
швейный, sewing
ше́лест, rustle
азербайджа́нец, Azerbaijani
антимонопо́льный, antitrust
аристокра́т, aristocrat
артиллери́ст, gunner
белизна, white
бе́лый, white
благода́тный, grace
блу́зка, blouse
бо́дрость, vigor
бо́же, God
брань, abuse
брэнд, brand
бычок, goby
вдохновля́ть, inspire
веревочка, rope
взаимосвязанный, interconnected
вожа́к, the leader
возлага́ть, to lay
вонь, stink
вписа́ться, fit
втягивать, draw
выпускной, prom
вырубить, to cut down
глубочайший, the deepest
гна́ться, chase
гостеприи́мный, welcoming
гости́ть, visit
гумани́зм, humanism
гу́ща, the thick
дико́винный, strange
духота́, stuffiness
единение, unity
забежа́ть, to run
загорать, tan
запа́хнуть, smell
застрели́ться, shoot
засуети́ться, fussed
звякнуть, tinkle
избежа́ние, avoid
изгородь, the fence
имитация, imitation
инструмента́льный, instrumental
ирони́ческий, ironic
карниз, cornice
кефи́р, kefir
киво́к, nod
клуби́ться, to kluvitse
клык, Fang
коллекционер, collector
комплекта́ция, trim
конвои́р, the guard
контролер, the controller
концла́герь, camp
косарь, the chopper
крестик, cross
кружевно́й, lace
ладо́ши, hands
ма́зать, smear
малоле́тний, juvenile
мальчи́шеский, boy
мило́рд, milord
минутный, minute
мойка, washing
мыча́ть, low
нависать, hang
нае́зд, hitting
наклон, tilt
наркомания, drug addiction
немно́гое, little
неопределенно, uncertain
неотло́жный, urgent
неприкоснове́нность, immunity
неразу́мный, foolish
неуверенность, uncertainty
нибудь, some
носик, spout
о́бразный, shaped
обраста́ть, to acquire
обусло́вливать, to determine
обустро́йство, arrangement
оглуши́тельный, deafening
одевать, dress
олицетворя́ть, impersonate
оса́дки, precipitation
отма́хиваться, to dismiss
отскочить, bounce
пелена́, shroud
перемести́ться, move
перераста́ть, grow
переселение, resettlement
поди́, podi
подставка, stand
поклоня́ться, worship
покра́сить, paint
по́лочка, shelf
помира́ть, to die
порча, damage
потертый, shabby
похоро́нный, funeral
привилегированный, preferred
при́город, the suburbs
прико́вывать, to rivet
прилета́ть, to fly
примеча́тельный, it is noteworthy
пришить, sew
пронза́ть, pierce
путаница, confusion
рабо́тница, worker
разворот, reversal
ра́са, race
рыда́ние, weeping
свини́на, pork
сенсацио́нный, sensational
скрипу́чий, squeaky
снабжать, to provide
стече́ние, coincidence
субстанция, substance
трактори́ст, tractor
уе́зд, County
улу́чшиться, to improve
упра́ва, Council
уставить, to stare
устоя́ться, to settle
форма́льность, formality
хво́стик, tail
хорек, ferret
цени́ться, appreciated
цини́зм, cynicism
цистерна, tank
шелестеть, rustle
шестеро, six
штрих, bar
эгои́зм, selfishness
яркость, brightness
абориге́н, aboriginal
азартный, gambling
алкоголи́зм, alcoholism
алфавит, alphabet
ареста́нт, the prisoner
аресто́ванный, arrested
атама́н, ataman
атлас, Atlas
балова́ть, pamper
бути́к, boutique
вакансия, vacancy
вглядеться, look
виток, round
возде́рживаться, refrain
волочить, drag
волочь, to voloci
воплоща́ть, to implement
воровско́й, thieves
воспроизведение, play
восстана́вливаться, to recover
впечатля́ющий, impressive
вылиться, result
вымира́ть, die
градострои́тельный, urban
деграда́ция, degradation
де́тище, the brainchild of
диагности́ческий, diagnostic
диспетчер, Manager
доброду́шно, kindly
договорной, contractual
долететь, to fly
дурь, shit
жизнера́достный, cheerful
завеща́ть, bequeath
завы́ть, to savuti
запина́ться, stammer
заста́ва, post
знаковый, sign
идентифицировать, to identify
изобретать, to invent
иссяка́ть, down
исчерпывающий, comprehensive
канализация, Sewerage
кобы́ла, Mare
коллективизация, collectivization
конфиска́ция, confiscation
корректный, correct
куро́ртный, resort
ла́вра, Laura
ледовый, ice
лито́вский, Lithuanian
литро́вый, liter
лу́чше, better
мыльный, soap
мяте́ж, mutiny
набира́ться, gain
наполниться, filled
напрячь, strain
насыпать, pour
невзира́я, regardless
оборони́тельный, defensive
оброни́ть, drop
общенациона́льный, national
озада́чивать, puzzle
о́ный, it
отлете́ть, fly away
отозва́ть, to withdraw
оха́пка, the armful
парламента́рий, the MP
пароль, password
пере́дняя, front
переки́нуть, throw
перепи́сывать, rewrite
перепра́ва, crossing
пери́метр, the perimeter
писа́тельница, writer
питомник, nursery
пове́ситься, hang
подбра́сывать, throw
по́дле, beside
подчеркиваться, reinforced
полково́й, regimental
походный, marching
прему́дрость, wisdom
пренебрежение, neglect
примириться, to reconcile
присмотр, baby
простираться, to extend
проходная, checkpoint
пятна́дцатый, fifteenth
разумно, reasonably
растопырить, to spread
реко́рдный, record
ру́гань, abuse
священнослужитель, the priest
сигнализация, alarm
сквозняк, draught
сковорода́, pan
слабеть, to weaken
слета́ть, to fly
смешо́к, laugh
смя́ть, crush
сограждани́н, fellow citizen
сопутствовать, to accompany
соро́ка, forty
соскочить, score
сосо́к, nipple
стука́ч, Squealer
сцепление, clutch
так, so
тра́та, waste
ужаса́ться, appalled
узенький, narrow
ушко, ear
фазовый, phase
фанера, plywood
фиксироваться, fixed
фле́йта, flute
хму́риться, frown
хозя́йствовать, to farm
це́пкий, tenacious
чрезмерно, excessively
шерша́вый, rough
шлепать, spank
шлюпка, boat
я́вка, turnout
ямка, the hole
архипела́г, the archipelago
астрономический, astronomical
бессозна́тельный, unconscious
благослове́нный, blessed
борозда, furrow
була́т, Bulat
буржуази́я, the bourgeoisie
бурли́ть, seethe
впо́ру, fit
враспло́х, surprise
вслед, after
всплесну́ть, to splashout
вы́мысел, fiction
высотный, tall
вязкий, viscous
генсек, Secretary General
гоне́ние, persecution
грести, to row
грузный, stout
гу́лкий, loud
джа́зовый, jazz
до́ждик, the rain
дозвони́ться, to call
досе́ле, hitherto
доступность, availability
дьявольский, devil
едкий, caustic
ело́вый, spruce
желтоватый, yellowish
же́ртвовать, to sacrifice
заграни́ца, abroad
зампред, the Chairman
запоро́жец, Zaporozhets
зародыш, germ
заслонить, obscure
зауря́дный, ordinary
и́здавна, long
иммуниза́ция, immunization
инициати́вный, initiative
испытательный, test
кладка, masonry
колю́чка, thorn
корочка, crust
куб, cube
куше́тка, couch
летательный, aircraft
лжи́вый, false
либерализа́ция, liberalization
мале́нько, little
материа́льно-технический, logistical
ме́рить, to measure
метафизический, metaphysical
метровый, meter
моли́твенный, prayer
монго́л, Mongol
мя́гкость, softness
навя́зчивый, obsessive
наименьший, lowest
накопительный, cumulative
нанима́ть, hire
наперед, advance
наполня́ться, filled
настраивать, to configure
негро́мкий, soft
непредвиденный, unexpected
неудово́льствие, displeasure
но́тка, note
обзыва́ть, call
огорча́ть, upset
ограждение, fencing
одолжа́ть, to borrow
окаменеть, to harden
опе́шить, to obesity
опознать, to identify
опубликова́ние, publication
осознанный, conscious
остывать, cool
отблеск, the glare
отдыша́ться, his breath
отча́иваться, despair
о́фисный, office
первоочередной, primary
переворачивать, turn
перелет, flight
перепо́лненный, crowded
побеле́ть, to become white
побуди́ть, encourage
подопе́чный, ward
подраста́ть, to grow
подростковый, teen
подсобный, utility
покрути́ть, twist
политехнический, Polytechnic
поли́ть, pour
по-хоро́шему, good
поэте́сса, poet
приве́рженец, adherent
припа́сть, to drop
прислуга, servants
провозглаша́ть, to proclaim
программирование, programming
продолговатый, oblong
проработка, study
простоду́шный, simple
простуда, cold
противопоставление, the juxtaposition of
прямоугольник, rectangle
публици́ст, publicist
пыхте́ть, puff
разгора́ться, to kindle
раздели́ться, be separated
разносить, post
расти́ть, to raise
растянуть, stretch
расширя́ться, to expand
самосвал, truck
серьга, earring
скепти́чески, skeptical
скрипнуть, to scripnet
словосочета́ние, the phrase
совершенствовать, to improve
согре́ться, keep warm
созы́в, the convocation
ставропольский, Stavropol
стихотво́рный, verse
страши́ться, fear
тамо́женник, the officer
телекомпа́ния, TV
толка́ться, push
трюм, hold
укори́зненно, reproachfully
унима́ться, to UNIMATIC
уны́ние, depression
усе́рдие, diligence
устой, stable
усыновле́ние, adoption
февра́льский, February
фра́у, Frau
хан, Khan
хва́тка, grip
хижина, hut
хит, hit
хм, hmm
цыга́нка, Gypsy
чесать, scratching
членство, membership
шере́нга, line
экскаватор, excavator
эпопе́я, epic
абстракция, abstraction
августовский, August
австрали́йский, Australian
акустический, acoustic
архео́лог, archaeologist
бди́тельный, alert
бензиновый, petrol
беспоща́дно, mercilessly
бе́шено, wildly
блатно́й, trickster
блуждать, wander
богатейший, rich
булыжник, cobblestone
бурение, drilling
бутыль, bottle
вва́ливаться, tumble
вду́мываться, ponder
вентилятор, fan
взаме́н, instead
взвыть, to uswith
вконе́ц, completely
возлюби́ть, love
вообще-то, actually
воротничок, collar
ворох, heap
воцаря́ться, to be established
всецело, entirely
вставка, insert
выжать, squeeze
выразительно, expressive
вычет, deduction
выявляться, identified
геофизический, geophysical
глас, the voice
гнуть, bending
горбатый, humpback
гостеприи́мство, hospitality
диктор, speaker
дистальный, the distal
дозор, watch
доминирующий, the dominant
доработка, revision
ежеме́сячно, monthly
еле-еле, barely
законченный, finished
заку́ривать, smoke
замерзать, freeze
заявля́ться, to apply
изгота́вливать, make
ипподром, Hippodrome
исключаться, excluded
ка, ka
карабкаться, climb
картон, cardboard
кня́жеский, Prince
кооперати́вный, cooperative
коррекция, correction
кратковременный, short
крестья́нство, the peasantry
лего́нько, lightly
лидерство, leadership
ликова́ние, glee
лимо́нный, lemon
лу́ковица, onion
метать, throw
мозаика, mosaic
мураве́йник, anthill
мя́киш, crumb
напада́ющий, striker
напрягаться, strain
на́стежь, wide open
невыгодный, disadvantageous
незри́мый, invisible
нела́дный, wrong
неточность, inaccuracy
обвини́тельный, guilty
о́блачко, the cloud
обменя́ть, exchange
обоснова́ться, to settle
обстоя́тельно, detail
обтяну́ть, to fit
огля́дка, looking back
ознакомле́ние, introduction
омский, Omsk
ослабнуть, to weaken
остаточный, residual
осыпаться, crumble
отворя́ть, to open
оты́скивать, look
оцепенение, numbness
очарование, charm
парази́т, parasite
паспортный, passport
пасти́сь, graze
перекла́дывать, shift
перешагнуть, step
пиа́р, PR
пишущий, writing
повозка, cart
подымать, to raise
пожелте́ть, Chistyakov
полне́йший, complete
поперек, across
поре́зать, cut
посадочный, boarding
поси́льный, feasible
послу́шаться, obey
потруди́ться, work
преемственность, continuity
прибе́гнуть, to use
принуждение, coercion
приспосо́биться, to adapt
присутствующий, present
при́хоть, whim
причине́ние, causing
дли́ться, last
проплыва́ть, swim
прямая, direct
разгореться, to kindle
разрушаться, to collapse
раска́яние, repentance
раски́дываться, to lose
распределяться, distributed
расставлять, to arrange
расстановка, arrangement
рыжик, ginger
ско́вывать, bind
смешивать, mix
собесе́дование, interview
соблюдаться, respected
сопоставить, map
срабатывать, fire
ста́йка, the flock
суспензия, suspension
суточный, daily
тру́сики, panties
трусли́вый, cowardly
убо́р, dress
угоще́ние, treat
умыва́ться, wash
у́мысел, the intent
фишка, chip
фотографировать, photography
худо́жница, artist
циркулировать, to circulate
швейца́р, porter
шейка, the neck
шпа́га, sword
э́так, that way
экспортер, exporter
эпи́тет, the epithet
авантю́ра, adventure
аксессуа́р, accessory
апартаменты, apartments
арбитра́ж, arbitration
архимандри́т, Archimandrite
барахло́, junk
барито́н, baritone
бескоры́стный, unselfish
бесстра́шный, fearless
более-менее, more or less
бри́ться, shave
ве́нский, Vienna
взаи́мно, mutually
взятие, taking
водоснабжение, water
воздушно-космический, aerospace
враз, at once
вспоте́ть, to sweat
выздороветь, to recover
вырыва́ть, snatch
вы́ситься, to tower
высококачественный, high quality
галлюцина́ция, hallucination
галочка, check
гипс, gypsum
глобус, globe
грани́т, granite
дефо́лт, the default
домрабо́тница, housekeeper
дра́ть, pulling
заболеваемость, the incidence of
заварить, brew
заезжа́ть, to call
закрути́ть, spin
замеша́тельство, confusion
замеша́ть, mix
заму́жество, marriage
замя́ться, get stuck
запутанный, tangled
зарыть, bury
застуча́ть, to zastuchat
зеркальце, mirror
зигзаг, zigzag
избира́ть, to elect
изве́чный, eternal
извилистый, winding
институциональный, institutional
ипотека, mortgage
каменистый, rocky
канонический, canonical
ка́рий, brown
карточный, card
карусель, carousel
карьерный, career
катакли́зм, cataclysm
кварте́т, Quartet
клеточка, cell
клубный, club
кое, some
кошма́рный, nightmare
кратчайший, the shortest
ку́дри, curls
ку́льтовый, cult
ла́зить, climb
лимузин, limousine
лобовой, its
ло́но, the bosom
лопу́х, burdock
люд, people
мазь, ointment
макия́ж, makeup
матерый, mater
моде́рн, modern
монго́льский, Mongolian
морщинка, wrinkle
награждение, awarding
наемник, mercenary
нажива́ть, after
наугад, at random
наяву́, in reality
ненаро́ком, inadvertently
неумоли́мый, relentless
нефтегазовый, oil and gas
ниче́й, nobody
обалдева́ть, stunned
обеспоко́ить, to perturb
обмундирова́ние, uniforms
обозна́читься, be denoted
общеизвестный, well-known
обще́ственно-политический, socio-political
объясни́мый, understandable
обыкнове́нно, commonly
огорча́ться, be upset
оградить, to protect
окрести́ть, dubbed
олигархический, oligarchic
оренбургский, Orenburg
отделать, decorate
отслеживать, track
о́тчим, stepfather
отъехать, pull
партком, the party Committee
передохну́ть, rest
перекусить, snack
пла́стика, plastic
поболта́ть, chat
подви́жник, the ascetic
подкрепить, to reinforce
подлинность, authenticity
пока́яться, to repent
поко́йный, late
попятиться, go
посту́кивать, tapping
пра́дед, great-grandfather
преобладание, the prevalence of
преобразовать, convert
приграничный, border
призывни́к, inductee
приле́чь, lie down
приостановле́ние, suspension
программист, programmer
прокурорский, Prosecutor
пролет, span
прома́хиваться, miss
прослу́шать, to listen
пя́титься, to retreat
радика́льно, radically
развлека́ть, entertain
разность, the difference
разо́к, once
распра́виться, to deal
ро́ды, childbirth
рудный, ore
рысь, lynx
ры́царский, knight
симпо́зиум, Symposium
синаго́га, synagogue
сквозной, end-to-end
скорейший, speedy
сла́вно, nice
сли́ва, plum
сме́ртный, death
соверши́ться, be done
сожрать, eat
соро́чка, shirt
сти́льный, stylish
торопли́вый, hasty
тра́титься, spent
трофе́й, trophy
уго́дье, the site
уголек, ember
угрожа́юще, dangerously
фана́тик, fanatic
фейерве́рк, fireworks
часо́вня, chapel
че, che
чи́стенький, clean
шо́рты, shorts
шта́тский, plain clothes
штурмови́к, stormtrooper
щепка, sliver
щетина, bristles
экосисте́ма, ecosystem
эпи́граф, the epigraph
яи́чко, egg
автотра́нспорт, vehicles
агроном, agronomist
аппаратный, hardware
арбитр, the referee
ба́рхат, velvet
бестолко́вый, stupid
блик, Blik
болва́н, Doodle
бродя́чий, stray
быва́лый, experienced
взвива́ться, to usvisa
вмиг, in a moment
водоро́дный, hydrogen
водохранилище, reservoir
возбудитель, exciter
восьмидеся́тый, eighties
всемогу́щий, Almighty
выплыва́ть, to swim
вытянутый, elongated
вы́ходка, the trick
го́рница, the upper room
грамматика, grammar
дева́ть, now
де́рзость, audacity
добежать, run
досро́чный, early
дотя́гивать, to hang
дошко́льник, preschooler
завяза́ться, tie
зага́дочно, mysteriously
закопать, bury
залива́ться, laugh
заостренный, sharp
заправка, refill
заторопиться, to naturopathica
зачисля́ть, to enroll
зна́мение, sign
знающий, knowing
зреть, Mature
идентичный, identical
избавле́ние, deliverance
изму́ченный, exhausted
интерна́т, boarding
истолкова́ть, to interpret
каскад, cascade
катю́ша, Katusha
кинорежиссер, filmmaker
когнити́вный, cognitive
коре́ец, Korean
корзинка, basket
кри́во, crooked
кубоме́тр, cubic meter
купа́ние, bathing
курточка, the jacket
ле́ксика, vocabulary
лишаться, to lose
ло́вля, fishing
мадо́нна, Madonna
ми́лостивый, merciful
миномет, mortar
мину́точка, the moment
мирско́й, worldly
мона́шеский, monastic
мытье, wash
наем, hiring
насладиться, enjoy
нау́чно, scientific
национали́ст, nationalist
неве́домо, unknown
невеселый, sad
негати́вно, negative
немину́емый, imminent
необоснованный, unreasonable
неподде́льный, genuine
непосе́да, fidget
нестерпи́мо, unbearably
ник, nick
обобщать, to summarize
общеобразова́тельный, secondary
объясни́ться, to explain
окинуть, to take
окошечко, the window
определенность, certainty
основательный, solid
отвыка́ть, to wean
отдыха́ющий, camper
отличи́ться, different
перемеша́ть, stir
переселе́нец, migrant
пе́ший, Hiking
повествова́ть, tell
подска́зка, hint
поклоне́ние, worship
покрышка, tire
поле́но, log
полог, canopy
полянка, Polyanka
поми́н, mention
посеять, sow
потряса́ющий, stunning
почерне́ть, turn black
предполагаемый, estimated
прерва́ться, be interrupted
прибыльный, profitable
при́городный, suburban
проде́лывать, to do
продолжа́ться, continue
проти́скиваться, squeeze
прошипе́ть, to prochitat
пудра, powder
пулеметный, machine gun
раздевалка, the locker room
разлете́ться, to scatter
распрощаться, to give
расса́живаться, to be seated
расха́живать, walk around
реанима́ция, resuscitation
резьба, thread
ресторанчик, restaurant
речевой, speech
родимый, darling
садо́вник, the gardener
сверну́ться, curl
сгорать, burn
синтези́ровать, to synthesize
скрепить, fasten
смешение, mix
сму́та, Smoot
снисходи́тельный, lenient
собственнору́чно, personally
соперничество, rivalry
соприкасаться, get in touch
спе́лый, ripe
справочный, reference
сторонний, third-party
таи́нственный, mysteriously
телегра́ф, Telegraph
тереби́ть, twirl
торгова́ться, bargain
ударе́ние, accent
удрать, scoot
умерший, dead
упасти́, to fall
упря́мство, stubbornness
уходя́щий, outgoing
ухо́женный, well maintained
фе́я, fairy
фре́ска, fresco
фу, fu
ха-ха́, haha
царапина, scratch
черновик, draft
чу́точку, a little
шаблон, template
шо, sho
эмигра́нтский, emigrant
акци́з, excise
алта́йский, Altai
антиква́рный, antique
антра́кт, intermission
архиере́й, Bishop
афори́зм, aphorism
бато́н, baton
блю́дце, saucer
боксер, boxer
вблизи, near
вдава́ться, go
вдалеке́, in the distance
вертика́льно, vertically
весть, news
веха, milestone
во́рон, Raven
восхища́ться, marvel
восходящий, ascending
во́шь, louse
врата, the gates
всего-навсего, just
вскрывать, to open
выполза́ть, to crawl out
выскользнуть, slip
вычитать, subtract
вязкость, viscosity
габарит, size
га́лка, jackdaw
гаранти́йный, warranty
гарь, Gar
герои́зм, heroism
гнить, rot
горение, burning
граммати́ческий, grammar
гри́ва, mane
да́мочка, lady
дека́брьский, December
денек, day
диале́ктика, dialectics
дубль, double
духово́й, brass
зави́дный, enviable
зависа́ть, hang
залеза́ть, to get
запо́й, bout
затихать, to subside
затра́чивать, to spend
зачита́ть, to read
зверек, animal
известить, notify
излю́бленный, favorite
изящество, grace
интуити́вно, intuitively
испо́ртиться, to bad
кабан, boar
кальций, calcium
камыш, reed
кандида́тский, Ph.D.
капитали́ст, capitalist
ка́рцер, lockup
клеенка, oilcloth
кобе́ль, male
комендату́ра, office
компрома́т, dirt
кофе́йный, coffee
кочка, bump
кры́ть, cover
кубанский, Kuban
лаке́й, the footman
ломи́ться, to break
лука́во, slyly
люби́тельский, Amateur
магазинчик, shop
медо́вый, honey
мемориа́льный, memorial
механически, mechanical
мисс, miss
многократный, multiple
му́жественно, bravely
набросок, sketch
нага́н, Nagant
налива́ться, fill
наотре́з, flatly
на́скоро, hastily
настора́живать, be alerted
настора́живать, be alerted
начинка, filling
не́мка, German
неразборчивый, illegible
нестерпи́мый, unbearable
обезу́меть, to obsolete
обрываться, end
объектив, lens
ова́ция, ovation
овес, oats
ожесточенный, fierce
озаря́ть, to illuminate
окуну́ться, dip
онеметь, to numb
отдале́ние, the distance
отли́чник, excellence
оторопе́ть, to Atropat
пасха́льный, Easter
перева́ливать, go
переводчица, translator
переговори́ть, talk
переноси́ться, transferred
переночева́ть, overnight
пересохнуть, to dry up
пехо́тный, infantry
планшет, tablet
плеснуть, splash
плести́сь, trail
пина́ть, kick
пова́дка, the habit of
погла́живать, stroke
подножка, footrest
пожира́ть, devour
помани́ть, to entice
посвяще́ние, dedication
посте́льный, bed
по́стный, lean
поте́ть, sweat
поэ́тика, poetics
пояснение, explanation
превосхо́дно, excellent
прерыва́ться, be interrupted
приватизи́ровать, to privatize
привяза́ться, attached
примеча́ть, to find
