и, and
туннель, the tunnel
тюменский, Tyumen
тяжелейший, the hardest
увязать, link
уксус, vinegar
урожайность, yield
утерять, to lose
фарш, minced
филолог, philologist
флажок, the box
фруктовый, fruit
хамство, rudeness
челябинский, Chelyabinsk
шампунь, shampoo
швейный, sewing
шелест, rustle
азербайджанец, Azerbaijani
антимонопольный, antitrust
аристократ, aristocrat
артиллерист, gunner
белизна, white
белый, white
благодатный, grace
блузка, blouse
бодрость, vigor
боже, God
брань, abuse
брэнд, brand
бычок, goby
вдохновлять, inspire
веревочка, rope
взаимосвязанный, interconnected
вожак, the leader
возлагать, to lay
вонь, stink
вписаться, fit
втягивать, draw
выпускной, prom
вырубить, to cut down
глубочайший, the deepest
гнаться, chase
гостеприимный, welcoming
гостить, visit
гуманизм, humanism
гуща, the thick
диковинный, strange
духота, stuffiness
единение, unity
забежать, to run
загорать, tan
запахнуть, smell
застрелиться, shoot
засуетиться, fussed
звякнуть, tinkle
избежание, avoid
изгородь, the fence
имитация, imitation
инструментальный, instrumental
иронический, ironic
карниз, cornice
кефир, kefir
кивок, nod
клубиться, to kluvitse
клык, Fang
коллекционер, collector
комплектация, trim
конвоир, the guard
контролер, the controller
концлагерь, camp
косарь, the chopper
крестик, cross
кружевной, lace
ладоши, hands
мазать, smear
малолетний, juvenile
мальчишеский, boy
милорд, milord
минутный, minute
мойка, washing
мычать, low
нависать, hang
наезд, hitting
наклон, tilt
наркомания, drug addiction
немногое, little
неопределенно, uncertain
неотложный, urgent
неприкосновенность, immunity
неразумный, foolish
неуверенность, uncertainty
нибудь, some
носик, spout
образный, shaped
обрасти, to acquire
обусловливать, to determine
обустройство, arrangement
оглушительный, deafening
одевать, dress
олицетворять, impersonate
осадки, precipitation
отмахиваться, to dismiss
отскочить, bounce
пелена, shroud
переместиться, move
перерасти, grow
переселение, resettlement
поди, podi
подставка, stand
поклоняться, worship
покрасить, paint
полочка, shelf
помирать, to die
порча, damage
потертый, shabby
похоронный, funeral
привилегированный, preferred
пригород, the suburbs
приковать, to rivet
прилетать, to fly
примечательно, it is noteworthy
пришить, sew
пронзить, pierce
путаница, confusion
работница, worker
разворот, reversal
раса, race
рыдание, weeping
свинина, pork
сенсационный, sensational
скрипучий, squeaky
снабжать, to provide
стечение, coincidence
субстанция, substance
тракторист, tractor
уезд, County
улучшиться, to improve
управа, Council
уставить, to stare
устояться, to settle
формальность, formality
хвостик, tail
хорек, ferret
цениться, appreciated
цинизм, cynicism
цистерна, tank
шелестеть, rustle
шестеро, six
штрих, bar
эгоизм, selfishness
яркость, brightness
абориген, aboriginal
азартный, gambling
алкоголизм, alcoholism
алфавит, alphabet
арестант, the prisoner
арестованный, arrested
атаман, ataman
атлас, Atlas
баловать, pamper
бутик, boutique
вакансия, vacancy
вглядеться, look
виток, round
воздержаться, refrain
волочить, drag
волочь, to voloci
воплощать, to implement
воровской, thieves
воспроизведение, play
восстанавливаться, to recover
впечатляющий, impressive
вылиться, result
вымереть, die
градостроительный, urban
деградация, degradation
детище, the brainchild of
диагностический, diagnostic
диспетчер, Manager
добродушно, kindly
договорной, contractual
долететь, to fly
дурь, shit
жизнерадостный, cheerful
завещать, bequeath
завыть, to savuti
запнуться, stammer
застава, post
знаковый, sign
идентифицировать, to identify
изобретать, to invent
иссякнуть, down
исчерпывающий, comprehensive
канализация, Sewerage
кобыла, Mare
коллективизация, collectivization
конфискация, confiscation
корректный, correct
курортный, resort
лавра, Laura
ледовый, ice
литовский, Lithuanian
литровый, liter
лучше, better
мыльный, soap
мятеж, mutiny
набираться, gain
наполниться, filled
напрячь, strain
насыпать, pour
невзирая, regardless
оборонительный, defensive
обронить, drop
общенациональный, national
озадачить, puzzle
оный, it
отлететь, fly away
отозвать, to withdraw
охапка, the armful
парламентарий, the MP
пароль, password
передняя, front
перекинуть, throw
переписывать, rewrite
переправа, crossing
периметр, the perimeter
писательница, writer
питомник, nursery
повеситься, hang
подбрасывать, throw
подле, beside
подчеркиваться, reinforced
полковой, regimental
походный, marching
премудрость, wisdom
пренебрежение, neglect
примириться, to reconcile
присмотр, baby
простираться, to extend
проходная, checkpoint
пятнадцатый, fifteenth
разумно, reasonably
растопырить, to spread
рекордный, record
ругань, abuse
священнослужитель, the priest
сигнализация, alarm
сквозняк, draught
сковорода, pan
слабеть, to weaken
слетать, to fly
смешок, laugh
смять, crush
согражданин, fellow citizen
сопутствовать, to accompany
сорока, forty
соскочить, score
сосок, nipple
стукач, Squealer
сцепление, clutch
так, so
трата, waste
ужаснуться, appalled
узенький, narrow
ушко, ear
фазовый, phase
фанера, plywood
фиксироваться, fixed
флейта, flute
хмуриться, frown
хозяйствовать, to farm
цепкий, tenacious
чрезмерно, excessively
шершавый, rough
шлепать, spank
шлюпка, boat
явка, turnout
ямка, the hole
архипелаг, the archipelago
астрономический, astronomical
бессознательный, unconscious
благословенный, blessed
борозда, furrow
булат, Bulat
буржуазия, the bourgeoisie
бурлить, seethe
впору, fit
врасплох, surprise
вслед, after
всплеснуть, to splashout
вымысел, fiction
высотный, tall
вязкий, viscous
генсек, Secretary General
гонение, persecution
грести, to row
грузный, stout
гулко, loud
джазовый, jazz
дождик, the rain
дозвониться, to call
доселе, hitherto
доступность, availability
дьявольский, devil
едкий, caustic
еловый, spruce
желтоватый, yellowish
жертвовать, to sacrifice
заграница, abroad
зампред, the Chairman
запорожец, Zaporozhets
зародыш, germ
заслонить, obscure
заурядный, ordinary
издавна, long
иммунизация, immunization
инициативный, initiative
испытательный, test
кладка, masonry
колючка, thorn
корочка, crust
куб, cube
кушетка, couch
летательный, aircraft
лживый, false
либерализация, liberalization
маленько, little
материально-технический, logistical
мерить, to measure
метафизический, metaphysical
метровый, meter
молитвенный, prayer
монгол, Mongol
мягкость, softness
навязчивый, obsessive
наименьший, lowest
накопительный, cumulative
нанимать, hire
наперед, advance
наполняться, filled
настраивать, to configure
негромкий, soft
непредвиденный, unexpected
неудовольствие, displeasure
нотка, note
обозвать, call
огорчать, upset
ограждение, fencing
одолжить, to borrow
окаменеть, to harden
опешить, to obesity
опознать, to identify
опубликование, publication
осознанный, conscious
остывать, cool
отблеск, the glare
отдышаться, his breath
отчаяться, despair
офисный, office
первоочередной, primary
переворачивать, turn
перелет, flight
переполненный, crowded
побелеть, to become white
побудить, encourage
подопечный, ward
подрастать, to grow
подростковый, teen
подсобный, utility
покрутить, twist
политехнический, Polytechnic
полить, pour
по-хорошему, good
поэтесса, poet
приверженец, adherent
припасть, to drop
прислуга, servants
провозглашать, to proclaim
программирование, programming
продолговатый, oblong
проработка, study
простодушный, simple
простуда, cold
противопоставление, the juxtaposition of
прямоугольник, rectangle
публицист, publicist
пыхтеть, puff
разгораться, to kindle
разделиться, be separated
разносить, post
растить, to raise
растянуть, stretch
расшириться, to expand
самосвал, truck
серьга, earring
скептически, skeptical
скрипнуть, to scripnet
словосочетание, the phrase
совершенствовать, to improve
согреться, keep warm
созыв, the convocation
ставропольский, Stavropol
стихотворный, verse
страшиться, fear
таможенник, the officer
телекомпания, TV
толкаться, push
трюм, hold
укоризненно, reproachfully
униматься, to UNIMATIC
уныние, depression
усердие, diligence
устой, stable
усыновление, adoption
февральский, February
фрау, Frau
хан, Khan
хватка, grip
хижина, hut
хит, hit
хм, hmm
цыганка, Gypsy
чесать, scratching
членство, membership
шеренга, line
экскаватор, excavator
эпопея, epic
абстракция, abstraction
августовский, August
австралийский, Australian
акустический, acoustic
археолог, archaeologist
бдительный, alert
бензиновый, petrol
беспощадно, mercilessly
бешено, wildly
блатной, trickster
блуждать, wander
богатейший, rich
булыжник, cobblestone
бурение, drilling
бутыль, bottle
ввалиться, tumble
вдуматься, ponder
вентилятор, fan
взамен, instead
взвыть, to uswith
вконец, completely
возлюбить, love
вообще-то, actually
воротничок, collar
ворох, heap
воцариться, to be established
всецело, entirely
вставка, insert
выжать, squeeze
выразительно, expressive
вычет, deduction
выявляться, identified
геофизический, geophysical
глас, the voice
гнуть, bending
горбатый, humpback
гостеприимство, hospitality
диктор, speaker
дистальный, the distal
дозор, watch
доминирующий, the dominant
доработка, revision
ежемесячно, monthly
еле-еле, barely
законченный, finished
закуривать, smoke
замерзать, freeze
заявиться, to apply
изготавливать, make
ипподром, Hippodrome
исключаться, excluded
ка, ka
карабкаться, climb
картон, cardboard
княжеский, Prince
кооперативный, cooperative
коррекция, correction
кратковременный, short
крестьянство, the peasantry
легонько, lightly
лидерство, leadership
ликование, glee
лимонный, lemon
луковица, onion
метать, throw
мозаика, mosaic
муравейник, anthill
мякиш, crumb
нападающий, striker
напрягаться, strain
настежь, wide open
невыгодный, disadvantageous
незримый, invisible
неладный, wrong
неточность, inaccuracy
обвинительный, guilty
облачко, the cloud
обменять, exchange
обосноваться, to settle
обстоятельно, detail
обтянуть, to fit
оглядка, looking back
ознакомление, introduction
омский, Omsk
ослабнуть, to weaken
остаточный, residual
осыпаться, crumble
отворить, to open
отыскивать, look
оцепенение, numbness
очарование, charm
паразит, parasite
паспортный, passport
пастись, graze
перекладывать, shift
перешагнуть, step
пиар, PR
пишущий, writing
повозка, cart
подымать, to raise
пожелтеть, Chistyakov
полнейший, complete
поперек, across
порезать, cut
посадочный, boarding
посильный, feasible
послушаться, obey
потрудиться, work
преемственность, continuity
прибегнуть, to use
принуждение, coercion
приспособиться, to adapt
присутствующий, present
прихоть, whim
причинение, causing
продлиться, last
проплывать, swim
прямая, direct
разгореться, to kindle
разрушаться, to collapse
раскаяние, repentance
раскинуться, to lose
распределяться, distributed
расставлять, to arrange
расстановка, arrangement
рыжик, ginger
сковать, bind
смешивать, mix
собеседование, interview
соблюдаться, respected
сопоставить, map
срабатывать, fire
стайка, the flock
суспензия, suspension
суточный, daily
трусики, panties
трусливый, cowardly
убор, dress
угощение, treat
умываться, wash
умысел, the intent
фишка, chip
фотографировать, photography
художница, artist
циркулировать, to circulate
швейцар, porter
шейка, the neck
шпага, sword
эдак, that way
экспортер, exporter
эпитет, the epithet
авантюра, adventure
аксессуар, accessory
апартаменты, apartments
арбитраж, arbitration
архимандрит, Archimandrite
барахло, junk
баритон, baritone
бескорыстный, unselfish
бесстрашный, fearless
более-менее, more or less
бриться, shave
венский, Vienna
взаимно, mutually
взятие, taking
водоснабжение, water
воздушно-космический, aerospace
враз, at once
вспотеть, to sweat
выздороветь, to recover
вырывать, snatch
выситься, to tower
высококачественный, high quality
галлюцинация, hallucination
галочка, check
гипс, gypsum
глобус, globe
гранит, granite
дефолт, the default
домработница, housekeeper
драть, pulling
заболеваемость, the incidence of
заварить, brew
заезжать, to call
закрутить, spin
замешательство, confusion
замешать, mix
замужество, marriage
замяться, get stuck
запутанный, tangled
зарыть, bury
застучать, to zastuchat
зеркальце, mirror
зигзаг, zigzag
избирать, to elect
извечный, eternal
извилистый, winding
институциональный, institutional
ипотека, mortgage
каменистый, rocky
канонический, canonical
карий, brown
карточный, card
карусель, carousel
карьерный, career
катаклизм, cataclysm
квартет, Quartet
клеточка, cell
клубный, club
кое, some
кошмарный, nightmare
кратчайший, the shortest
кудри, curls
культовый, cult
лазить, climb
лимузин, limousine
лобовой, its
лоно, the bosom
лопух, burdock
люд, people
мазь, ointment
макияж, makeup
матерый, mater
модерн, modern
монгольский, Mongolian
морщинка, wrinkle
награждение, awarding
наемник, mercenary
нажить, after
наугад, at random
наяву, in reality
ненароком, inadvertently
неумолимый, relentless
нефтегазовый, oil and gas
ничей, nobody
обалдеть, stunned
обеспокоить, to perturb
обмундирование, uniforms
обозначиться, be denoted
общеизвестный, well-known
общественно-политический, socio-political
объяснимый, understandable
обыкновенно, commonly
огорчаться, be upset
оградить, to protect
окрестить, dubbed
олигархический, oligarchic
оренбургский, Orenburg
отделать, decorate
отслеживать, track
отчим, stepfather
отъехать, pull
партком, the party Committee
передохнуть, rest
перекусить, snack
пластика, plastic
поболтать, chat
подвижник, the ascetic
подкрепить, to reinforce
подлинность, authenticity
покаяться, to repent
покойный, late
попятиться, go
постукивать, tapping
прадед, great-grandfather
преобладание, the prevalence of
преобразовать, convert
приграничный, border
призывник, inductee
прилечь, lie down
приостановление, suspension
программист, programmer
прокурорский, Prosecutor
пролет, span
промахнуться, miss
прослушать, to listen
пятиться, to retreat
радикально, radically
развлекать, entertain
разность, the difference
разок, once
расправиться, to deal
роды, childbirth
рудный, ore
рысь, lynx
рыцарский, knight
симпозиум, Symposium
синагога, synagogue
сквозной, end-to-end
скорейший, speedy
славно, nice
слива, plum
смертный, death
совершиться, be done
сожрать, eat
сорочка, shirt
стильный, stylish
торопливый, hasty
тратиться, spent
трофей, trophy
угодье, the site
уголек, ember
угрожающе, dangerously
фанатик, fanatic
фейерверк, fireworks
часовня, chapel
че, che
чистенький, clean
шорты, shorts
штатское, plain clothes
штурмовик, stormtrooper
щепка, sliver
щетина, bristles
экосистема, ecosystem
эпиграф, the epigraph
яичко, egg
автотранспорт, vehicles
агроном, agronomist
аппаратный, hardware
арбитр, the referee
бархат, velvet
бестолковый, stupid
блик, Blik
болван, Doodle
бродячий, stray
бывалый, experienced
взвиться, to usvisa
вмиг, in a moment
водородный, hydrogen
водохранилище, reservoir
возбудитель, exciter
восьмидесятый, eighties
всемогущий, Almighty
выплыть, to swim
вытянутый, elongated
выходка, the trick
горница, the upper room
грамматика, grammar
девать, now
дерзость, audacity
добежать, run
досрочный, early
дотянуть, to hang
дошкольник, preschooler
завязаться, tie
загадочно, mysteriously
закопать, bury
заливаться, laugh
заостренный, sharp
заправка, refill
заторопиться, to naturopathica
зачислить, to enroll
знамение, sign
знающий, knowing
зреть, Mature
идентичный, identical
избавление, deliverance
измученный, exhausted
интернат, boarding
истолковать, to interpret
каскад, cascade
катюша, Katusha
кинорежиссер, filmmaker
когнитивный, cognitive
кореец, Korean
корзинка, basket
криво, crooked
кубометр, cubic meter
купание, bathing
курточка, the jacket
лексика, vocabulary
лишаться, to lose
ловля, fishing
мадонна, Madonna
милостивый, merciful
миномет, mortar
минуточка, the moment
мирской, worldly
монашеский, monastic
мытье, wash
наем, hiring
насладиться, enjoy
научно, scientific
националист, nationalist
неведомо, unknown
невеселый, sad
негативно, negative
неминуемый, imminent
необоснованный, unreasonable
неподдельный, genuine
непоседа, fidget
нестерпимо, unbearably
ник, nick
обобщать, to summarize
общеобразовательный, secondary
объясниться, to explain
окинуть, to take
окошечко, the window
определенность, certainty
основательный, solid
отвыкнуть, to wean
отдыхающий, camper
отличиться, different
перемешать, stir
переселенец, migrant
пеший, Hiking
повествовать, tell
подсказка, hint
поклонение, worship
покрышка, tire
полено, log
полог, canopy
полянка, Polyanka
помин, mention
посеять, sow
потрясающий, stunning
почернеть, turn black
предполагаемый, estimated
прерваться, be interrupted
прибыльный, profitable
пригородный, suburban
проделывать, to do
продолжиться, continue
протиснуться, squeeze
прошипеть, to prochitat
пудра, powder
пулеметный, machine gun
раздевалка, the locker room
разлететься, to scatter
распрощаться, to give
рассесться, to be seated
расхаживать, walk around
реанимация, resuscitation
резьба, thread
ресторанчик, restaurant
речевой, speech
родимый, darling
садовник, the gardener
свернуться, curl
сгорать, burn
синтезировать, to synthesize
скрепить, fasten
смешение, mix
смута, Smoot
снисходительный, lenient
собственноручно, personally
соперничество, rivalry
соприкасаться, get in touch
спелый, ripe
справочный, reference
сторонний, third-party
таинственно, mysteriously
телеграф, Telegraph
теребить, twirl
торговаться, bargain
ударение, accent
удрать, scoot
умерший, dead
упасти, to fall
упрямство, stubbornness
уходящий, outgoing
ухоженный, well maintained
фея, fairy
фреска, fresco
фу, fu
ха-ха, haha
царапина, scratch
черновик, draft
чуточку, a little
шаблон, template
шо, sho
эмигрантский, emigrant
акциз, excise
алтайский, Altai
антикварный, antique
антракт, intermission
архиерей, Bishop
афоризм, aphorism
батон, baton
блюдце, saucer
боксер, boxer
вблизи, near
вдаваться, go
вдалеке, in the distance
вертикально, vertically
весть, news
веха, milestone
ворон, Raven
восхититься, marvel
восходящий, ascending
вошь, louse
врата, the gates
всего-навсего, just
вскрывать, to open
выползти, to crawl out
выскользнуть, slip
вычитать, subtract
вязкость, viscosity
габарит, size
галка, jackdaw
гарантийный, warranty
гарь, Gar
героизм, heroism
гнить, rot
горение, burning
грамматический, grammar
грива, mane
дамочка, lady
декабрьский, December
денек, day
диалектика, dialectics
дубль, double
духовой, brass
завидный, enviable
зависнуть, hang
залезать, to get
запой, bout
затихать, to subside
затратить, to spend
зачитать, to read
зверек, animal
известить, notify
излюбленный, favorite
изящество, grace
интуитивно, intuitively
испортиться, to bad
кабан, boar
кальций, calcium
камыш, reed
кандидатский, Ph.D.
капиталист, capitalist
карцер, lockup
клеенка, oilcloth
кобель, male
комендатура, office
компромат, dirt
кофейный, coffee
кочка, bump
крыть, cover
кубанский, Kuban
лакей, the footman
ломиться, to break
лукаво, slyly
любительский, Amateur
магазинчик, shop
медовый, honey
мемориальный, memorial
механически, mechanical
мисс, miss
многократный, multiple
мужественно, bravely
набросок, sketch
наган, Nagant
наливаться, fill
наотрез, flatly
наскоро, hastily
настораживать, be alerted
насторожить, be alerted
начинка, filling
немка, German
неразборчивый, illegible
нестерпимый, unbearable
обезуметь, to obsolete
обрываться, end
объектив, lens
овация, ovation
овес, oats
ожесточенный, fierce
озарить, to illuminate
окунуться, dip
онеметь, to numb
отдаление, the distance
отличник, excellence
оторопеть, to Atropat
пасхальный, Easter
перевалить, go
переводчица, translator
переговорить, talk
переноситься, transferred
переночевать, overnight
пересохнуть, to dry up
пехотный, infantry
планшет, tablet
плеснуть, splash
плестись, trail
пнуть, kick
повадка, the habit of
поглаживать, stroke
подножка, footrest
пожирать, devour
поманить, to entice
посвящение, dedication
постельный, bed
постный, lean
потеть, sweat
поэтика, poetics
пояснение, explanation
превосходно, excellent
прерываться, be interrupted
приватизировать, to privatize
привязаться, attached
приметить, to find
принтер, the printer
присяжный, juror
приурочить, timing
проверяться, checked
продвинуть, promote
проигрыш, loss
прослеживаться, tracked
простудиться, cold
противовес, contrast
пузо, belly
пурга, Blizzard
раввин, Rabbi
радикал, radical
радист, radioman
раздражить, annoying
разрозненный, fragmented
раскладушка, bed
расколоть, to split
раскрасить, paint
рассчитаться, pay
расшифровать, to decrypt
ревизия, revision
редколлегия, the editorial Board
реконструировать, to reconstruct
розетка, outlet
самоопределение, the determination
скомкать, bills
соблюсти, to comply with
соваться, go
спекуляция, speculation
спутниковый, satellite
сторожить, to guard
судейский, referee
трофейный, trophy
тряпочка, cloth
углубиться, to go
узы, ties
уйма, a lot
употребляться, used
усердно, hard
усовершенствование, improvement
утрачивать, to lose
ухмыляться, "hmmph"
флора, flora
фольклорный, folklore
цент, penny
чугун, cast iron
шалаш, the hut
шаман, shaman
шатер, tent
шестнадцатый, sixteenth
ширма, screen
шкатулка, box
шкафчик, locker
шпана, kids
шуточка, joke
щука, pike
экзотика, exotic
экспериментатор, the experimenter
экстремизм, extremism
адекватно, adequately
альфа, alpha
ассамблея, Assembly
аттестат, certificate
бант, bow
безмолвный, silent
беспредел, chaos
боцман, boatswain
бункер, bunker
варшавский, Warsaw
вбить, to drive
вещание, broadcasting
вздор, nonsense
визитный, business
властитель, ruler
влюбленность, love
воздвигнуть, to rise
возмущенно, indignantly
восемьсот, eight hundred
воск, wax
воспитанный, bred
восхитительный, delightful
врачебный, medical
вредить, bruising
всеобъемлющий, comprehensive
выборочный, sample
выездной, exit
выискивать, find
вырыть, dig
гайка, nut
гармоничный, harmonious
гвардейский, guards
героин, heroin
гибрид, hybrid
гильза, sleeve
глотнуть, SIP
горячка, fever
гряда, ridge
дипломатия, diplomacy
довезти, to take
довериться, trust
доживать, live
допуск, admission
живучесть, survivability
журавль, crane
забеспокоиться, to worry
закреплять, to fix
заметаться, to samatata
заморский, overseas
записываться, to enroll
затевать, to start
затяжной, prolonged
захлопать, to clap their
звездолет, the spaceship
ива, willow
инфицировать, to infect
инъекция, injection
исцеление, healing
карать, to punish
картографический, map
качнуться, swing
клюнуть, to bite
комментатор, commentator
комод, chest
конкурентоспособный, competitive
кормиться, feed
корявый, clumsy
красть, steal
кроватка, cot
кряхтеть, groan
кулачок, Cam
логично, logical
лопаться, to burst
манифест, the manifest
метан, methane
мечтательно, dreamy
милая, sweetheart
мифология, mythology
моль, mol
моргать, blinking
мыслящий, thinking
наспех, hastily
недостаточность, failure
непоправимый, irreparable
несовершенный, imperfect
несостоявшийся, failed
нетронутый, untouched
ночлег, overnight
ноша, burden
обиженный, offended
облить, pour
ободрать, to strip
оправиться, to recover
оптимистический, optimistic
оргкомитет, the organizing Committee
осина, aspen
относительность, relativity
отпечатать, print
отпор, resistance
отставание, lag
отставной, retired
ошарашить, to dumbfound
пал, PAL
панихида, Requiem
парный, pair
партнерша, partner
пасти, mouth
перевозчик, the carrier
переносица, the bridge of the nose
переселиться, to move
питьевой, drinking
подоспеть, to come
позвонок, vertebra
покатить, roll them along
полслова, the most trivial scrap of information
полутьма, twilight
полый, hollow
помысел, the thought
попечение, care
пополнить, refill
пошевелиться, to move
пощечина, slap
пощупать, feel
предписать, prescribe
предсмертный, death
пресвятой, blessed
пресный, fresh
присоединить, attach
притормозить, to slow down
притяжение, attraction
пронзительно, piercing
просвещенный, enlightened
просчет, miscalculation
проясниться, clarified
пятнышко, speck
размножаться, multiply
разорваться, torn
распухнуть, swelling
рацион, diet
реалистический, realistic
резон, the reason
рождаемость, fertility
романтизм, romanticism
сатирический, satirical
саудовский, Saudi
свинка, mumps
сдержанность, restraint
секретность, secrecy
семеро, seven
скат, SKAT
скопиться, to accumulate
скроить, tailor
слизистый, slimy
смета, estimates
соседствовать, to coexist
сосчитать, count
социум, society
старение, aging
стишок, poem
сток, Stoke
стряхнуть, shake
сценка, scene
счеты, scores
таежный, taiga
темно-синий, dark blue
тенор, tenor
тина, Tina
топка, furnace
трагически, tragically
трезво, sober
тренажер, trainer
тренировать, train
тускло, dim
тушить, simmer
убежденность, conviction
усыпать, to sleep
фактура, texture
филологический, philological
хам, ham
хилый, Hilo
холодок, chill
хромосома, chromosome
шайка, gang
шаль, shawl
шестьсот, six hundred
юридически, legally
аккумулятор, battery
алмазный, diamond
аура, aura
базальный, basal
баллада, ballad
баллистический, ballistic
баррикада, barricade
бездельник, slacker
бескрайний, endless
блиндаж, the dugout
болт, bolt
братва, the lads
вдох, breath
великолепие, splendor
взрывать, blow up
военно-политический, military-political
возлагаться, be borne
воссоздать, to recreate
выздоровление, recovery
выключатель, switch
выкопать, dig
вырубка, cutting
гастроном, the grocery store
говаривать, to covariate
говорящий, speaking
говядина, beef
гордыня, pride
горестно, sadly
губернаторский, the Governor's
гусар, hussars
девчата, girls
диаспора, Diaspora
диванчик, sofa
дискриминация, discrimination
добить, to finish off
досье, dossier
дружинник, combatant
дубинка, baton
елочка, herringbone
жемчуг, pearls
жуть, horror
завысить, inflate
задирать, perk
замотать, roll
занятный, amusing
западноевропейский, Western
запасть, bump
запереться, locked
запрещение, prohibition
зонт, umbrella
измерительный, measuring
изолированный, insulated
иранский, Iranian
искусно, skillfully
истратить, to spend
иудейский, Jewish
ишь, see
карнавал, carnival
качели, swing
керамический, ceramic
колготки, tights
координировать, coordinate
коренастый, chunky
красноватый, reddish
крейсер, cruiser
критически, critically
кропотливый, painstaking
круглосуточно, around the clock
курган, barrow
курок, the trigger
лотерея, lottery
лояльность, loyalty
маятник, the pendulum
мимоходом, in passing
мифический, mythical
м-м, m-m
многоэтажный, multi-storey
мобильник, cell phone
мощно, powerfully
мыслительный, thinking
нагрянуть, to descend
надуть, inflating
наезжать, straddle
населять, live
ничтожество, jerk
огорчиться, be upset
ограниченность, limited
отослать, send
отслужить, to serve
оттянуть, delay
оформляться, be
перебор, Robin
пересказать, retell
перехват, interception
пестренький, variegated
платежный, payment
плюхнуться, flop
погрозить, wag
подвижность, mobility
поддельный, fake
подрабатывать, to earn money
по-иному, differently
пола, sex
порекомендовать, recommend
порождение, generation
поужинать, dinner
почистить, clean
пошевелить, to move
пресечь, stop
преуспеть, to succeed
приверженность, commitment
пригорок, hill
прикрикнуть, shout
примкнуть, to join
присудить, award
притязание, the claim
причитаться, obtains
пробег, mileage
пробурчать, to pronunciate
проезжий, the traveller
проповедник, the preacher
пропорциональный, proportional
просчитать, to calculate
противиться, to resist
раз, once
разинуть, to open
различимый, distinguishable
разрастись, to grow
разрываться, torn
ревнивый, jealous
рижский, Riga
рожок, horn
своеобразие, originality
сговориться, aligning
семантика, semantics
сколотить, to make
сложение, addition
согласоваться, to date
содрать, rip off
сопрячь, matching
сочиться, oozing
сроду, I've never let
тамбовский, Tambov
тревожиться, worrying
трепетный, anxious
триумфальный, triumphal
трубный, pipe
угасать, to fade
управиться, managed
учинить, Tun
уяснить, to understand
фильтрация, filtering
фокусник, the magician
хоровод, dance
храпеть, snoring
чан, Chan
чесаться, itch
шляться, an insult
штукатурка, plaster
экстракт, extract
эмблема, emblem
альт, viola
амбициозный, ambitious
ароматный, fragrant
белковый, protein
беспартийный, non-party
беспечный, careless
бледнеть, to fade
ботанический, Botanical
бюрократ, bureaucrat
варвар, barbarian
вдогонку, after
ветчина, ham
взволнованно, excitedly
вич-инфекция, HIV infection
возвышение, the rise
всего, just
вульгарный, vulgar
выбиться, break
выбрить, shaved
выдох, exhale
выключать, off
высадка, landing
выстоять, to survive
галька, pebbles
географ, geographer
глянцевый, glossy
гном, dwarf
грустить, sad
давиться, gagging
дак, duck
дичь, game
дозволить, to permit
древо, the tree
еврейка, Jewish
единоборство, combat
жандарм, gendarme
жилет, vest
жилплощадь, the living space
заволноваться, to sasanavamsa
загораться, up
запить, drink
запоздалый, belated
заполучить, to get
засветиться, to Shine
зной, heat
изменчивость, variability
изящно, gracefully
именитый, eminent
кажущийся, seemingly
капюшон, hood
квас, kvass
кисель, jelly
кисточка, brush
коллизия, collision
копировать, copy
копошиться, to fumble around
кораблик, the boat
коровий, cow
кустик, Bush
лавина, avalanche
лифчик, bra
лицей, Lyceum
лучшее, best
любовно, lovingly
маловероятный, unlikely
масть, suit
материально, material
медикамент, medication
местонахождение, location
местоположение, location
мечтание, daydreaming
мизинец, pinkie
могильный, burial
морковка, carrot
мотивировать, to motivate
мошенник, rogue
мякоть, pulp
наглухо, tightly
наехать, pressurize
народность, nationality
невзрачный, plain
невыполнение, failure
нерешительно, hesitantly
неспешно, slowly
нет-нет, no
нетрадиционный, unconventional
норвежский, Norwegian
обособленный, detached
овладевать, master
окровавленный, bloody
опробовать, try
опровержение, rebuttal
ослепительно, dazzling
ослепить, dazzle
осуществиться, be
отвориться, to unlock
отключение, disabling
охват, coverage
ощупывать, to palpate
палестинец, the Palestinian
парной, steam
переделка, alteration
передернуть, to distort
переписываться, to correspond
переступать, cross
пика, peak
питье, drink
погибель, perdition
подметить, notice
подписаться, subscribe
подрыв, undermining
подрывать, to undermine
позапрошлый, last
покорность, submission
пологий, gentle
помолиться, pray
понимающе, knowingly
посередине, in the middle
поспевать, to keep up
праймер, primer
пренебречь, to neglect
преображение, transformation
привязывать, bind
приземистый, squat
призывной, draft
притаиться, to pritaitsia
продуктовый, grocery
проектировать, design
профильный, profile
равномерный, uniform
развеять, to dispel
ракурс, view
расовый, racial
расправить, stretch
расходный, expenditure
рефлексия, reflection
рябина, Rowan
свисток, whistle
сердечно, cardio
сердцевина, core
сжатие, compression
сконструировать, to construct
скрежет, gnashing
смородина, currant
согласно, according
согласованный, agreed
сокрушаться, lamenting
творог, cheese
текстильный, textile
терпимость, tolerance
топчан, the couch
тормозной, brake
трактир, tavern
тренинг, training
трость, cane
тряпье, rags
тыква, pumpkin
тюльпан, Tulip
уважительно, respectful
угрожающий, threatening
универмаг, store
упоение, the rapture
упразднить, to abolish
учетный, account
фанат, fan
хихикнуть, to hihiknul
хоккейный, hockey
хрущевский, Khrushchev
целиться, aim
частушка, rhyme
чрево, the womb
